Trial,Direction,ReactionTime(ms),StimulusOffset(s),Sensitivity,PulseWidth(us),PulseCount,PulseInterval(us),Timestamp
1,R,328.68,0,200,50,1,40000,23:06:45.465
2,L,225.16,0,200,50,1,40000,23:06:49.675
3,R,344.42,0,200,50,1,40000,23:06:53.004
4,R,316.71,0,200,50,1,40000,23:06:56.092
5,R,261.32,0,200,50,1,40000,23:06:59.594
6,R,250.56,0,200,50,1,40000,23:07:03.205
7,L,226.87,0,200,50,1,40000,23:07:06.308
8,L,224.26,0,200,50,1,40000,23:07:09.532
9,L,275.95,0,200,50,1,40000,23:07:12.141
10,R,242.98,0,200,50,1,40000,23:07:15.747
11,L,249.74,0,200,50,1,40000,23:07:19.717
12,R,246.90,0,200,50,1,40000,23:07:24.028
13,R,269.66,0,200,50,1,40000,23:07:27.428
14,L,233.32,0,200,50,1,40000,23:07:31.104
15,L,240.33,0,200,50,1,40000,23:07:34.964
16,R,246.17,0,200,50,1,40000,23:07:37.922
17,R,261.24,0,200,50,1,40000,23:07:40.535
18,R,238.42,0,200,50,1,40000,23:07:44.190
19,L,219.53,0,200,50,1,40000,23:07:48.152
20,R,206.29,0,200,50,1,40000,23:07:51.706
21,L,227.07,0,200,50,1,40000,23:07:54.513
22,L,231.65,0,200,50,1,40000,23:07:57.279
23,L,222.87,0,200,50,1,40000,23:08:00.622
24,R,233.06,0,200,50,1,40000,23:08:05.240
25,L,222.28,0,200,50,1,40000,23:08:09.290
26,L,217.89,0,200,50,1,40000,23:08:13.047
27,R,263.84,0,200,50,1,40000,23:08:17.109
28,R,249.69,0,200,50,1,40000,23:08:21.298
29,L,248.25,0,200,50,1,40000,23:08:25.380
30,L,330.41,0,200,50,1,40000,23:08:29.109
